ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Country,Sport,Event,Medal
94596,Rajasekaran Pichaya,M,23,167,57,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Athletics,Athletics Men's 4 x 100 metres Relay,NA
94878,Dhanraj Pillay,M,24,170,68,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Hockey,Hockey Men's Hockey,NA
94878,Dhanraj Pillay,M,28,170,68,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Hockey,Hockey Men's Hockey,NA
94878,Dhanraj Pillay,M,32,170,68,India,IND,2000 Summer,2000,Summer,Sydney,Australia,Hockey,Hockey Men's Hockey,NA
94878,Dhanraj Pillay,M,36,170,68,India,IND,2004 Summer,2004,Summer,Athina,Greece,Hockey,Hockey Men's Hockey,NA
94881,Vikram Vishnu Pillay,M,22,162,72,India,IND,2004 Summer,2004,Summer,Athina,Greece,Hockey,Hockey Men's Hockey,NA
94977,Manoj Dattatray Pingale,M,20,165,51,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Boxing,Boxing Men's Flyweight,NA
95008,Broome Eric Pinniger,M,25,180,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Netherlands,Hockey,Hockey Men's Hockey,Gold
95008,Broome Eric Pinniger,M,29,180,NA,India,IND,1932 Summer,1932,Summer,Los Angeles,United States of America,Hockey,Hockey Men's Hockey,Gold
95055,"Lavinho Thomas ""Lavy"" Pinto",M,22,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Athletics,Athletics Men's 100 metres,NA
95055,"Lavinho Thomas ""Lavy"" Pinto",M,22,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Athletics,Athletics Men's 200 metres,NA
95056,Leo Hillary Knowles Pinto,M,34,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Hockey,Hockey Men's Hockey,Gold
95249,Terence Keith Pitt,M,20,NA,NA,India,IND,1924 Summer,1924,Summer,Paris,France,Athletics,Athletics Men's 100 metres,NA
95249,Terence Keith Pitt,M,20,NA,NA,India,IND,1924 Summer,1924,Summer,Paris,France,Athletics,Athletics Men's 200 metres,NA
95249,Terence Keith Pitt,M,20,NA,NA,India,IND,1924 Summer,1924,Summer,Paris,France,Athletics,Athletics Men's 400 metres,NA
95896,Nora Margaret Polley (Fischer-),F,29,NA,NA,India,IND,1924 Summer,1924,Summer,Paris,France,Tennis,Tennis Women's Singles,NA
95896,Nora Margaret Polley (Fischer-),F,29,NA,NA,India,IND,1924 Summer,1924,Summer,Paris,France,Tennis,Tennis Mixed Doubles,NA
96004,Daniel Pon Mony,M,26,NA,59,India,IND,1948 Summer,1948,Summer,London,England,Weightlifting,Weightlifting Men's Featherweight,NA
96004,Daniel Pon Mony,M,30,NA,59,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Weightlifting,Weightlifting Men's Featherweight,NA
96014,Rehan Jahangir Poncha,M,22,180,68,India,IND,2008 Summer,2008,Summer,Beijing,China,Swimming,Swimming Men's 200 metres Butterfly,NA
96036,Ashwini Ponnappa,F,22,165,59,India,IND,2012 Summer,2012,Summer,London,England,Badminton,Badminton Women's Doubles,NA
96036,Ashwini Ponnappa,F,26,165,59,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Badminton,Badminton Women's Doubles,NA
96094,Cheppudira Subbaih Poonacha,M,26,NA,NA,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Hockey,Hockey Men's Hockey,NA
96095,Krishna Poonia,F,26,182,80,India,IND,2008 Summer,2008,Summer,Beijing,China,Athletics,Athletics Women's Discus Throw,NA
96095,Krishna Poonia,F,30,182,80,India,IND,2012 Summer,2012,Summer,London,England,Athletics,Athletics Women's Discus Throw,NA
96125,Lalji Aparna Popat,F,22,160,65,India,IND,2000 Summer,2000,Summer,Sydney,Australia,Badminton,Badminton Women's Singles,NA
96125,Lalji Aparna Popat,F,26,160,65,India,IND,2004 Summer,2004,Summer,Athina,Greece,Badminton,Badminton Women's Singles,NA
96374,Ankur Poseria,M,21,185,80,India,IND,2008 Summer,2008,Summer,Beijing,China,Swimming,Swimming Men's 100 metres Butterfly,NA
96597,"Machettira Raju ""M.R."" Povamma",F,26,175,59,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Athletics,Athletics Women's 4 x 400 metres Relay,NA
96626,"Kenneth Lawrence ""Ken"" Powell",M,24,171,61,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Athletics,Athletics Men's 100 metres,NA
96626,"Kenneth Lawrence ""Ken"" Powell",M,24,171,61,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Athletics,Athletics Men's 200 metres,NA
96626,"Kenneth Lawrence ""Ken"" Powell",M,24,171,61,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Athletics,Athletics Men's 4 x 100 metres Relay,NA
96659,Homi Powri,M,NA,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Cycling,"Cycling Men's Road Race, Individual",NA
96659,Homi Powri,M,NA,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Cycling,"Cycling Men's Road Race, Team",NA
96694,Eric Rajanicka Prabhakar Philip,M,23,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Athletics,Athletics Men's 100 metres,NA
96708,Jaslal Pradhan,M,27,168,90,India,IND,1984 Summer,1984,Summer,Los Angeles,United States of America,Boxing,Boxing Men's Light-Welterweight,NA
96709,Nikki Pradhan,F,22,153,45,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Hockey,Hockey Women's Hockey,NA
96729,Jai Kangar Prakash,M,26,185,90,India,IND,1984 Summer,1984,Summer,Los Angeles,United States of America,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",NA
96730,Sajan Prakash Prakash,M,22,178,70,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Swimming,Swimming Men's 200 metres Butterfly,NA
96746,Ansuya Prasad,M,28,165,72,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Diving,Diving Men's Springboard,NA
96747,Bahadur Prasad Singh,M,26,177,63,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Athletics,"Athletics Men's 5,000 metres",NA
96747,Bahadur Prasad Singh,M,30,177,63,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Athletics,"Athletics Men's 1,500 metres",NA
96750,Diwakar Prasad,M,19,162,54,India,IND,2004 Summer,2004,Summer,Athina,Greece,Boxing,Boxing Men's Bantamweight,NA
96751,Mahabir Prasad,M,NA,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Football,Football Men's Football,NA
96753,Rajendra Prasad,M,20,NA,NA,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Boxing,Boxing Men's Light-Flyweight,NA
96754,Satyadev Prasad,M,24,170,64,India,IND,2004 Summer,2004,Summer,Athina,Greece,Archery,Archery Men's Individual,NA
96754,Satyadev Prasad,M,24,170,64,India,IND,2004 Summer,2004,Summer,Athina,Greece,Archery,Archery Men's Team,NA
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,France,Athletics,Athletics Men's 60 metres,NA
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,France,Athletics,Athletics Men's 100 metres,NA
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,France,Athletics,Athletics Men's 200 metres,Silver
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,France,Athletics,Athletics Men's 110 metres Hurdles,NA
97066,Norman Gilbert Pritchard (-Trevor),M,24,NA,NA,India,IND,1900 Summer,1900,Summer,Paris,France,Athletics,Athletics Men's 200 metres Hurdles,Silver
97474,Sushila Chanu Pukhrambam,F,24,152,52,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Hockey,Hockey Women's Hockey,NA
97536,Sapna Punia,F,28,NA,NA,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Athletics,Athletics Women's 20 kilometres Walk,NA
97537,Savita Punia,F,26,171,59,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Hockey,Hockey Women's Hockey,NA
97587,Sangeeta Puri,F,16,NA,NA,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Swimming,Swimming Women's 50 metres Freestyle,NA
