,Fighter Name,Nickname,W,L,D,Height,Weight,Reach,Stance,DOB,Age,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
2903,Aji Susilo,None,6,4,0,"5' 10""",155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2904,Jason Suttie,Nobunaga,0,1,0,"6' 0""",210 lbs.,NA,Orthodox,7-Aug-73,47,2.07,4.97,0.83,0.36,0,0,0,0
2905,Joel Sutton,None,2,4,1,"5' 11""",205 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
2906,Chad Sutton,None,2,2,0,"6' 1""",185 lbs.,NA,NA,7-Aug-82,38,0,0,0,0,0,0,0,0
2907,Martin Svensson,Big Swede,14,6,0,"6' 1""",155 lbs.,"72""",NA,25-Apr-85,35,2.02,5.91,0.38,0.38,0,0,0,0
2908,Cub Swanson,None,26,11,0,"5' 8""",145 lbs.,"70""",Orthodox,2-Nov-83,37,4.11,3.24,0.5,0.62,1.29,0.52,0.56,0.6
2909,Mike Swick,Quick,15,6,0,"6' 1""",170 lbs.,"77""",Orthodox,19-Jun-79,41,2.36,2.29,0.37,0.54,1.06,0.5,0.61,0.6
2910,Floyd Sword,None,12,3,0,"6' 0""",185 lbs.,NA,Orthodox,24-Aug-76,44,0.78,1.57,0.42,0.4,0,0,0.33,0
2911,Bentley Syler,Dr. Bolivia,5,1,0,"5' 4""",125 lbs.,"68""",Orthodox,22-Dec-82,38,1.3,1.73,0.18,0.79,0,0,0.75,0
2912,Kevin Syler,El Nino Bala,8,0,0,"5' 9""",155 lbs.,NA,NA,29-Jul-93,27,NA,NA,NA,NA,NA,NA,NA,NA
2913,Leo Sylvest,Lethal,10,26,0,"5' 11""",205 lbs.,NA,Orthodox,3-Sep-73,47,0,6.58,0,0.27,0,0,0,0
2914,Tony Sylvester,None,11,3,0,"6' 1""",225 lbs.,NA,Southpaw,27-Jan-78,42,0,10.12,0,0.12,0,0,0,0
2915,Tim Sylvia,The Maine-iac,30,7,0,"6' 8""",265 lbs.,"80""",Orthodox,5-Mar-76,44,4.23,2.61,0.41,0.61,0.11,1,0.75,0.1
2916,Osamu Tachihikari,None,0,4,0,"6' 5""",300 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
2917,Amber Tackett,None,1,3,0,NA,115 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2918,Eugenio Tadeu,None,2,3,0,"5' 8""",160 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
2919,Khalid Taha,The Warrior,14,2,0,"5' 5""",135 lbs.,"69""",Orthodox,15-Feb-92,28,2.64,2.29,0.5,0.45,0,0,0.63,0.5
2920,Joe Taimanglo,The Juggernaut,23,7,1,"5' 4""",135 lbs.,NA,NA,27-Jun-84,36,4.18,4.55,0.42,0.59,5.45,0.4,1,1.4
2921,Mairbek Taisumov,Beckan,27,6,0,"5' 9""",155 lbs.,"73""",Orthodox,8-Aug-88,32,3.21,2.09,0.43,0.62,2.17,0.77,0.85,0
2922,Nobuhiko Takada,None,2,6,2,"6' 0""",220 lbs.,NA,Southpaw,12-Apr-62,58,0.31,1.92,0.24,0.39,1.15,0.2,0,0
2923,Yoshiki Takahashi,Kazuo,29,25,3,"5' 11""",199 lbs.,NA,Southpaw,13-Mar-69,51,2.26,6.47,0.51,0.44,0,0,0.66,2.3
2924,Yoko Takahashi,None,15,12,2,"5' 8""",150 lbs.,NA,NA,20-Apr-73,47,0,0,0,0,0,0,0,0
2925,Daiju Takase,None,9,13,2,"6' 0""",170 lbs.,NA,Southpaw,20-Apr-78,42,0.49,1.64,0.3,0.47,0.84,0.17,0.21,1.2
2926,Hiroyuki Takaya,Streetfight Bancho,16,10,1,"5' 6""",139 lbs.,NA,Orthodox,10-Jun-77,43,3.18,3.16,0.33,0.6,0.9,0.45,0.66,0
2927,Yoshihiro Takayama,None,1,4,0,"6' 5""",280 lbs.,NA,Orthodox,19-Sep-68,52,3.4,5.69,0.54,0.29,0.67,0.33,0.55,0
2928,Makoto Takimoto,None,6,5,0,"5' 7""",205 lbs.,NA,Southpaw,8-Dec-79,41,1.37,1.71,0.39,0.55,1.48,0.5,0.25,1.1
