,Fighter Name,Nickname,W,L,D,Height,Weight,Reach,Stance,DOB,Age,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
0,Tom Aaron,None,5,3,0,NA,155 lbs.,NA,NA,13-Jul-78,42,0,0,0,0,0,0,0,0
1,Danny Abbadi,The Assassin,4,6,0,"5' 11""",155 lbs.,NA,Orthodox,3-Jul-83,37,3.29,4.41,0.38,0.57,0,0,0.77,0
2,David Abbott,Tank,10,14,0,"6' 0""",265 lbs.,NA,Switch,NA,0,1.35,3.55,0.3,0.38,1.07,0.33,0.66,0
3,Shamil Abdurakhimov,Abrek,20,5,0,"6' 3""",235 lbs.,"76""",Orthodox,2-Sep-81,39,2.53,2.53,0.45,0.58,1.36,0.22,0.77,0.3
4,Hiroyuki Abe,Abe Ani,8,14,3,"5' 6""",145 lbs.,NA,Orthodox,NA,0,1.71,3.11,0.36,0.63,0,0,0.33,0
5,Daichi Abe,None,6,2,0,"5' 11""",170 lbs.,"71""",Orthodox,27-Nov-91,29,4.2,2.87,0.34,0.67,1,1,0,0
6,Papy Abedi,Makambo,9,3,0,"5' 11""",185 lbs.,"74""",Southpaw,30-Jun-78,42,2.8,3.15,0.55,0.48,3.47,0.57,0.5,1.3
7,Ricardo Abreu,Demente,5,3,0,"5' 11""",185 lbs.,"73""",Orthodox,27-Apr-84,36,3.79,3.98,0.31,0.68,2.13,0.42,1,0.7
8,Klidson Abreu,White Bear,15,4,0,"6' 0""",235 lbs.,"74""",Orthodox,24-Dec-92,28,NA,NA,NA,NA,NA,NA,NA,NA
9,Daniel Acacio,None,26,12,0,"5' 8""",180 lbs.,NA,Orthodox,27-Dec-77,43,3.52,2.85,0.36,0.62,0.33,0.2,0.81,0
10,Scott Adams,None,8,1,0,"6' 0""",225 lbs.,NA,Southpaw,NA,0,0,0,0,0,0,0,0,0
11,Juan Adams,The Kraken,5,3,0,"6' 5""",265 lbs.,"80""",Orthodox,16-Jan-92,28,NA,NA,NA,NA,NA,NA,NA,NA
12,Anthony Adams,Sugafoot,7,1,0,"6' 0""",185 lbs.,"77""",Orthodox,13-Jan-88,32,NA,NA,NA,NA,NA,NA,NA,NA
13,Israel Adesanya,The Last Stylebender,19,0,0,"6' 4""",185 lbs.,"80""",Switch,22-Jul-89,31,3.96,2.4,0.48,0.65,0,0,0.86,0.3
14,Sam Adkins,The Experience,7,20,2,"6' 3""",225 lbs.,NA,Orthodox,26-Apr-65,55,0,0,0,0,0,0,0,0
15,Nick Agallar,None,24,6,0,"5' 8""",155 lbs.,NA,Orthodox,13-Jan-79,41,0.69,4.56,0.11,0.42,0,0,0,0
16,Mariya Agapova,None,6,1,0,NA,125 lbs.,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
17,Marcelo Aguiar,None,2,3,1,"5' 10""",170 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
18,Edwin Aguilar,Tigre,22,16,0,"5' 10""",185 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
19,Jessica Aguilar,Jag,20,8,0,"5' 3""",115 lbs.,"63""",Orthodox,8-May-82,38,4.23,7.13,0.43,0.6,2,0.5,0,0
20,Kevin Aguilar,Angel of Death,17,3,0,"5' 7""",145 lbs.,"73""",Orthodox,7-Sep-88,32,NA,NA,NA,NA,NA,NA,NA,NA
21,Mike Aina,Iron,12,6,1,"5' 9""",155 lbs.,NA,Orthodox,NA,0,2.87,6.33,0.33,0.59,0,0,0.71,0
22,Hitomi Akano,Girlfight Monster,18,8,0,"5' 4""",135 lbs.,NA,Southpaw,27-Jul-74,46,0.59,2.58,0.45,0.55,0,0,0.08,0.5
23,Omari Akhmedov,Wolverine,20,4,1,"6' 0""",185 lbs.,"73""",Orthodox,12-Oct-87,33,2.94,2.65,0.34,0.57,3.41,0.54,0.5,0.4
24,Yoshihiro Akiyama,None,14,6,0,"5' 10""",170 lbs.,"73""",Orthodox,29-Jul-75,45,3.1,3.62,0.41,0.57,2.29,0.67,0.92,1
25,Rostem Akman,Kurdimus Prime,6,2,0,"5' 10""",170 lbs.,"72""",Switch,19-Dec-91,29,NA,NA,NA,NA,NA,NA,NA,NA
26,Razak Al-Hassan,None,11,5,0,"6' 2""",205 lbs.,NA,Orthodox,14-May-82,38,3.27,3.14,0.39,0.6,0.65,0.14,0.57,0
27,Mostapha Al-Turk,None,6,6,0,"6' 2""",245 lbs.,"77""",Orthodox,14-Jul-73,47,1.36,3.61,0.19,0.53,0,0,0,0
28,Javi Alanis,None,0,3,0,"5' 6""",135 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
29,Brett Albee,None,3,1,0,NA,225 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
30,John Albert,Prince,7,5,0,"5' 8""",135 lbs.,"68""",NA,13-Oct-86,34,3.05,2.82,0.49,0.35,0,0,0.5,6.1
31,Junior Albini,Baby,14,6,0,"6' 3""",264 lbs.,"74""",Orthodox,15-Mar-91,29,3.87,6.22,0.48,0.54,0,0,1,0
32,Wes Albritton,None,0,1,0,"5' 10""",188 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
33,Alexandra Albu,Stitch,7,2,0,"5' 2""",115 lbs.,"63""",Orthodox,14-Jul-90,30,5.26,5.01,0.51,0.41,3.18,0.55,0.81,0.6
34,Israel Albuquerque,None,0,3,0,NA,185 lbs.,NA,Orthodox,NA,0,0.32,3.34,0.13,0.25,0,0,0,0
35,Juan Alcain,None,1,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
36,Iuri Alcantara,Marajo,35,10,0,"5' 9""",135 lbs.,"71""",Southpaw,4-Aug-80,40,2.69,2.53,0.46,0.48,1.54,0.69,0.57,0.8
37,Ildemar Alcantara,Marajo,21,8,0,"6' 2""",185 lbs.,"78""",Orthodox,18-Nov-82,38,1.93,2.63,0.38,0.5,2,0.68,0.81,0.9
38,Alfonso Alcarez,None,1,3,1,"5' 3""",145 lbs.,NA,NA,10-Jun-70,50,0,0,0,0,0,0,0,0
39,Gilbert Aldana,El Peligro,6,2,0,"6' 1""",250 lbs.,NA,Orthodox,25-Aug-77,43,2.91,6.26,0.54,0.26,2.57,0.4,0.33,0
40,Irene Aldana,None,12,5,0,"5' 9""",135 lbs.,"68""",Orthodox,26-Mar-88,32,6.4,9.13,0.4,0.59,0.5,1,1,0
41,Hector Aldana,El Charro,4,4,0,"5' 11""",170 lbs.,"72""",Orthodox,17-Aug-88,32,NA,NA,NA,NA,NA,NA,NA,NA
42,Jose Aldo,None,28,6,0,"5' 7""",145 lbs.,"70""",Orthodox,9-Sep-86,34,3.46,2.91,0.44,0.67,0.74,0.68,0.92,0.2
43,JJ Aldrich,None,8,4,0,"5' 5""",125 lbs.,"67""",Southpaw,29-Sep-92,28,4.3,4.93,0.39,0.6,0,0,0.33,0
44,Jim Alers,The Beast,13,3,0,"5' 9""",145 lbs.,"71""",Orthodox,14-Oct-86,34,2.9,4.38,0.4,0.56,2.26,0.41,0.8,0.3
45,John Alessio,The Natural,34,16,0,"5' 10""",155 lbs.,"72""",Orthodox,5-Jul-79,41,1.87,2.46,0.35,0.57,1.78,0.36,0.72,1
46,Houston Alexander,The Assassin,13,8,1,"6' 0""",205 lbs.,"72""",Orthodox,22-Mar-72,48,3.06,3.2,0.54,0.52,1.19,0.57,0.33,0
47,Kenneth Alexander,The Machine,5,5,0,"5' 9""",155 lbs.,NA,Orthodox,25-Sep-77,43,0.88,2.2,0.19,0.66,4.71,0.26,0,0
48,Marcio Alexandre Junior,Lyoto,17,4,0,"6' 0""",185 lbs.,"75""",Southpaw,5-May-89,31,1.66,2.97,0.44,0.41,0.37,0.2,0.72,0.4
49,Olaf Alfonso,None,8,11,0,"6' 2""",170 lbs.,NA,Orthodox,6-Aug-74,46,0.74,5.33,0.26,0.37,0,0,0.22,0.6
50,Pablo Alfonso,The Hurricane,6,5,0,"5' 8""",145 lbs.,NA,NA,9-May-83,37,0,0,0,0,0,0,0,0
51,Levi Alford,None,1,4,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
52,Bill Algeo,Senor Perfecto,12,3,0,"6' 0""",145 lbs.,"73""",Switch,9-Jun-89,31,NA,NA,NA,NA,NA,NA,NA,NA
53,Royce Alger,None,3,2,0,"5' 10""",199 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
54,Amir Aliakbari,None,10,1,0,"6' 3""",250 lbs.,NA,NA,10-Jun-84,36,NA,NA,NA,NA,NA,NA,NA,NA
55,Sultan Aliev,None,15,3,0,"5' 11""",170 lbs.,"74""",Orthodox,17-Sep-84,36,1.3,2.03,0.57,0.58,1.69,0.66,1,0
56,John Allan,None,13,5,0,"6' 1""",205 lbs.,NA,Orthodox,22-Feb-93,27,NA,NA,NA,NA,NA,NA,NA,NA
57,George Allen,None,13,19,2,"6' 2""",205 lbs.,NA,Open Stance,13-Jan-67,53,0.8,3.1,0.38,0.43,0,0,0.5,0
58,Arnold Allen,Almighty,16,1,0,"5' 8""",145 lbs.,"70""",Southpaw,22-Jan-94,26,2.06,1.85,0.34,0.55,2.88,0.57,0.75,0.7
59,Brendan Allen,All In,14,3,0,"6' 2""",185 lbs.,NA,NA,NA,0,2.62,2.8,0.59,0.3,2.68,0.37,0.75,4.5
60,Benny Alloway,Blanco,13,6,0,"5' 11""",170 lbs.,"75""",Orthodox,19-Feb-81,39,1.28,1.9,0.49,0.59,0.62,0.5,0.26,0
61,Ricardo Almeida,Big Dog,13,5,0,"6' 0""",170 lbs.,"74""",Orthodox,29-Nov-76,44,2.02,1.2,0.49,0.61,3.74,0.38,0.31,1.2
62,Magno Almeida,None,9,3,0,"6' 0""",155 lbs.,NA,NA,6-Jun-85,35,1.67,2.6,0.36,0.41,0,0,0.4,5
63,Thomas Almeida,Thominhas,22,3,0,"5' 7""",135 lbs.,"70""",Southpaw,31-Jul-91,29,6,4.53,0.48,0.63,0,0,0.76,0
64,Ericka Almeida,None,7,2,0,"5' 6""",115 lbs.,"68""",NA,5-Mar-89,31,1.07,3.33,0.39,0.43,0.5,0.33,0.37,0
65,Estefani Almeida,None,7,2,0,"5' 4""",125 lbs.,NA,Orthodox,17-Oct-88,32,NA,NA,NA,NA,NA,NA,NA,NA
66,Mauricio Alonso,None,13,7,0,"6' 2""",170 lbs.,NA,NA,27-Feb-80,40,5.74,1.91,0.34,0.67,0,0,0,0
67,Rico Altamirano,None,3,2,0,"5' 10""",170 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
68,Mike Altman,None,1,4,0,"5' 10""",185 lbs.,NA,Orthodox,NA,0,1.56,2.08,0.2,0.75,0,0,0,0
69,Sean Alvarez,None,4,3,0,"6' 0""",235 lbs.,NA,Orthodox,14-Jul-71,49,0.89,3.25,0.37,0.47,0,0,0,0
70,Eddie Alvarez,The Underground King,29,6,0,"5' 9""",155 lbs.,"69""",Orthodox,11-Jan-84,36,4.44,4.28,0.41,0.55,3.14,0.38,0.92,0.4
71,Jaime Alvarez,None,6,1,0,"5' 8""",125 lbs.,"69""",Orthodox,8-Mar-88,32,2.73,4.53,0.4,0.56,1,0.33,0.5,0
72,Joel Alvarez,El Fenomeno,16,2,0,"6' 3""",155 lbs.,"77""",Orthodox,2-Mar-94,26,2.55,3.44,0.33,0.54,0,0,0,0
73,Thiago Alves,Pitbull,28,15,0,"5' 9""",170 lbs.,"70""",Orthodox,3-Oct-83,37,3.6,3.07,0.41,0.64,0.75,0.66,0.63,0.4
74,Anthony Alves,None,1,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
75,Amilcar Alves,None,11,4,0,"6' 0""",170 lbs.,NA,Southpaw,8-Aug-88,32,0.5,2.02,0.46,0.3,0,0,0.53,0
76,Warlley Alves,None,14,4,0,"5' 11""",170 lbs.,"72""",Orthodox,4-Jan-91,29,2.8,4.1,0.46,0.5,1.3,0.43,0.75,1.1
77,Sam Alvey,Smile'N,33,13,0,"6' 2""",205 lbs.,"75""",Southpaw,6-May-86,34,3.08,3.18,0.46,0.54,0,0,0.84,0.1
78,Andre Amado,Dida,6,4,1,"6' 0""",154 lbs.,NA,Orthodox,NA,0,2.27,5.91,0.24,0.63,0,0,0.2,0
79,Adlan Amagov,Borz,13,2,1,"6' 2""",170 lbs.,"76""",Orthodox,30-Oct-86,34,3.29,0.82,0.47,0.78,5.84,0.56,1,0
80,Maiara Amanajas dos Santos,None,7,3,0,"5' 5""",115 lbs.,NA,Southpaw,11-Jul-87,33,NA,NA,NA,NA,NA,NA,NA,NA
81,Chris Amarante,None,2,0,0,NA,185 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
82,Jimmy Ambriz,The Titan,15,18,1,"6' 2""",315 lbs.,NA,Southpaw,26-Jan-70,50,0.83,3.76,0.29,0.4,3.13,0.57,1,0.8
83,JJ Ambrose,None,17,3,0,"5' 10""",170 lbs.,NA,Orthodox,NA,0,3.16,6.32,0.69,0.33,0,0,0.5,0
84,Alen Amedovski,None,8,2,0,"5' 10""",185 lbs.,"74""",Orthodox,6-Apr-88,32,0.52,3.14,0.28,0.37,0,0,0,0
85,Makwan Amirkhani,Mr. Finland,15,4,0,"5' 10""",145 lbs.,"72""",Southpaw,8-Nov-88,32,1.73,1.45,0.53,0.53,4.24,0.45,0.5,2.4
86,Bertrand Amoussou,None,1,1,0,"5' 8""",190 lbs.,NA,Orthodox,NA,0,6.75,2.01,0.39,0.83,0,0,0,0
87,Karl Amoussou,The Psycho,12,4,2,"5' 11""",185 lbs.,NA,Orthodox,21-Nov-85,35,1.47,2.67,0.34,0.54,0,0,0.25,1
88,Eryk Anders,Ya Boi,13,4,0,"6' 1""",185 lbs.,"75""",Southpaw,21-Apr-87,33,7.93,4.83,0.79,0.39,5.17,0.5,1,0
89,Matt Andersen,None,14,8,1,"6' 2""",230 lbs.,NA,Southpaw,29-May-71,49,0,0,0,0,0,0,0,0
90,Andy Anderson,The Hammer,0,1,0,"5' 6""",240 lbs.,NA,NA,16-Jul-74,46,0,0,0,0,0,0,0,0
91,Lowell Anderson,None,0,1,0,"5' 6""",160 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
92,Corey Anderson,Overtime,14,5,0,"6' 3""",205 lbs.,"79""",Orthodox,22-Sep-89,31,4.77,2.34,0.46,0.58,4.4,0.48,0.33,0
93,Derek Anderson,Barbaric,14,3,0,"6' 0""",155 lbs.,NA,NA,2-Feb-90,30,3.97,3.08,0.37,0.61,0.34,0.14,0.6,0
94,Megan Anderson,None,11,4,0,"6' 0""",145 lbs.,"72""",Orthodox,11-Feb-90,30,0,0,0,0,0,0,0,0
95,Alex Andrade,El Toro,10,5,0,"5' 11""",200 lbs.,NA,Orthodox,14-May-74,46,0.2,2.6,0.36,0.53,0,0,0.25,0.8
96,Jessica Andrade,Bate Estaca,20,7,0,"5' 1""",115 lbs.,"62""",Orthodox,25-Sep-91,29,6.45,4.98,0.51,0.51,2.5,0.52,0.78,0.5
97,Viscardi Andrade,None,19,7,0,"5' 11""",170 lbs.,"75""",Orthodox,8-Mar-84,36,3.26,2.77,0.42,0.63,1.93,0.5,0.66,0.3
98,Jermaine Andre,None,14,4,0,"5' 7""",200 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
99,Dylan Andrews,The Villain,18,8,0,"6' 1""",185 lbs.,"73""",Switch,15-Nov-79,41,2.21,2.72,0.5,0.46,2.83,0.5,0.57,0.4
100,Reese Andy,Riptide,7,3,0,"6' 0""",205 lbs.,NA,Orthodox,31-Mar-73,47,2.87,3.5,0.5,0.58,0.67,0.2,0.4,0
101,Yoji Anjo,Mr. 200%,0,5,1,"5' 11""",205 lbs.,NA,Orthodox,28-Mar-67,53,0,3.13,0,0.25,0,0,0,0
102,Magomed Ankalaev,None,13,1,0,"6' 3""",205 lbs.,"75""",Orthodox,2-Jun-92,28,3.46,1.24,0.56,0.67,0.68,0.33,0.85,0
103,Nina Ansaroff,The Strina,10,6,0,"5' 5""",115 lbs.,"64""",Orthodox,3-Dec-85,35,5.22,3.77,0.48,0.53,0.51,0.4,0.73,1
104,Gadzhimurad Antigulov,None,20,6,0,"5' 11""",205 lbs.,"70""",Orthodox,9-Feb-87,33,0.58,0.87,0.25,0.66,8.65,1,0,8.7
105,Adam Antolin,Captain Chaos,12,3,0,"5' 5""",125 lbs.,"63""",Orthodox,28-Feb-82,38,5.73,5,0.52,0.69,0,0,1,0
106,Angelo Antonio,None,1,3,0,NA,205 lbs.,NA,Orthodox,NA,0,1.09,7.64,0.5,0.5,0,0,0,0
107,Zu Anyanwu,8th Wonder,14,5,0,"6' 1""",251 lbs.,"77""",Orthodox,5-Aug-81,39,2.47,2.47,0.42,0.69,0.65,1,0,0
108,Shinsho Anzai,Animal,10,3,0,"5' 7""",170 lbs.,"70""",Orthodox,1-Dec-85,35,3.49,3.69,0.59,0.46,2,0.16,1,0
109,Shinya Aoki,Tobikan Judan,30,5,0,"5' 11""",154 lbs.,NA,Southpaw,9-May-83,37,0.97,1.25,0.58,0.58,2.54,0.41,0.6,4
110,Josh Appelt,The Juggernaut,15,6,0,"5' 10""",255 lbs.,"73""",Southpaw,19-Jun-83,37,NA,NA,NA,NA,NA,NA,NA,NA
111,Erik Apple,None,10,3,0,"6' 0""",170 lbs.,NA,Orthodox,26-Aug-77,43,0,0.54,0,0.81,0,0,0,8.1
112,Kenji Arai,None,15,15,5,"5' 10""",145 lbs.,NA,Southpaw,5-Oct-79,41,8.79,10.29,0.27,0.39,0,0,0,0
113,Romie Aram,None,7,1,0,"5' 10""",170 lbs.,NA,Orthodox,2-Dec-77,43,1.8,2.83,0.35,0.5,2.5,0.62,0.83,0
114,Felipe Arantes,Sertanejo,18,10,1,"5' 8""",135 lbs.,"73""",Orthodox,9-Feb-88,32,2.48,2.56,0.45,0.64,1,0.52,0.42,0.8
115,Igor Araujo,None,25,8,0,"6' 1""",170 lbs.,"77""",Orthodox,6-Dec-80,40,1.52,2.86,0.42,0.49,0.86,0.15,0.22,0.6
116,Viviane Araujo,Vivi,8,2,0,"5' 4""",135 lbs.,"68""",Orthodox,21-Nov-86,34,4.51,5.2,0.47,0.54,2.57,0.58,1,0
117,Julio Arce,None,16,4,0,"5' 7""",145 lbs.,"70""",Southpaw,27-Oct-89,31,8.24,2.61,0.51,0.7,0,0,1,0
118,Art Arciniega,King Arthur,15,7,0,"5' 8""",145 lbs.,NA,NA,15-Oct-81,39,1.53,2.73,0.46,0.51,0,0,0.5,1
119,Tristan Arenal,None,4,1,0,NA,155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
120,Andrei Arlovski,The Pitbull,28,19,0,"6' 3""",240 lbs.,"77""",Orthodox,4-Feb-79,41,3.24,2.61,0.42,0.58,0.33,0.33,0.8,0.4
121,Joey Armstrong,None,5,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
122,Austin Arnett,Golden Boy,16,6,0,"6' 0""",145 lbs.,"72""",Orthodox,22-Oct-91,29,7,8.93,0.38,0.7,0,0,0,1
123,Ricardo Arona,The Brazilian Tiger,14,5,0,"5' 11""",205 lbs.,NA,Orthodox,17-Jul-78,42,1.66,1.15,0.48,0.57,2.41,0.48,0.58,1.2
124,Chalid Arrab,Die Faust,7,3,0,"5' 11""",205 lbs.,NA,Orthodox,28-May-75,45,1.56,1.63,0.34,0.56,3.05,0.75,0.37,1
125,Akbarh Arreola,El Caballero,23,10,1,"5' 10""",155 lbs.,"71""",Southpaw,14-Jan-83,37,2.32,4.01,0.45,0.56,1.07,1,0.33,0.4
126,Matt Arroyo,No Regard,3,3,0,"5' 10""",170 lbs.,"72""",Orthodox,1-Sep-82,38,1.62,2.01,0.47,0.58,2.12,0.36,1,5.3
127,Antonio Arroyo,None,9,3,0,"6' 0""",185 lbs.,NA,Orthodox,1-Jul-89,31,3.12,1.87,0.69,0.43,1.95,0.41,0.44,0.4
128,Gilles Arsene,None,1,1,0,"5' 9""",190 lbs.,NA,Southpaw,NA,0,0.06,2.45,0.1,0.32,0,0,0,0
129,Veta Arteaga,None,3,1,0,"5' 7""",125 lbs.,NA,NA,NA,0,3.2,1.92,0.36,0.65,0,0,0.4,0
130,Cesar Arzamendia,Goku,7,4,0,"5' 11""",155 lbs.,"71""",NA,31-Jan-91,29,5.37,5.2,0.45,0.56,7.32,0.75,0,2.4
131,Cyril Asker,Silverback,9,4,0,"6' 0""",247 lbs.,"74""",Orthodox,24-Dec-85,35,3.67,4.15,0.4,0.4,5.1,0.62,1,1
132,Scott Askham,None,14,4,0,"6' 3""",185 lbs.,"75""",Southpaw,20-May-88,32,3.03,3.52,0.46,0.52,0.44,0.18,0.65,0.7
133,Ben Askren,Funky,19,2,0,"5' 11""",170 lbs.,"73""",Orthodox,18-Jul-84,36,3.46,5.66,0.49,0.36,4.33,0.55,0,0.9
134,Bruno Assis,Brunao,8,3,0,"6' 2""",185 lbs.,NA,Orthodox,23-May-92,28,NA,NA,NA,NA,NA,NA,NA,NA
135,Junior Assuncao,None,13,4,0,"5' 9""",145 lbs.,"72""",Orthodox,24-Jun-81,39,3.31,2.06,0.62,0.44,2.43,0.24,0.66,0.7
136,Raphael Assuncao,None,27,7,0,"5' 5""",135 lbs.,"66""",Orthodox,19-Jul-82,38,3.37,2.29,0.4,0.69,1.36,0.33,0.79,0.3
137,Bazigit Atajev,Volk,17,1,0,"6' 1""",230 lbs.,NA,Orthodox,NA,0,0.87,3.14,0.41,0.49,1,0.33,0,0
138,Rich Attonito,The Raging Bull,10,5,0,"5' 10""",170 lbs.,"72""",Orthodox,16-Jun-77,43,2.28,2.13,0.47,0.59,0.74,0.37,0.75,0
139,Olivier Aubin-Mercier,The Canadian Gangster,12,5,0,"5' 9""",155 lbs.,"70""",Southpaw,23-Feb-89,31,2.67,2.67,0.52,0.58,3.14,0.35,0.83,0.6
140,Pat Audinwood,Awesomely Awesome,9,2,1,"6' 0""",155 lbs.,NA,Orthodox,16-Apr-86,34,1.17,4.31,0.12,0.41,0.8,0.5,0,0
141,Marcus Aurelio,Maximus,21,10,0,"5' 10""",155 lbs.,"74""",Orthodox,18-Aug-73,47,1.42,2.27,0.33,0.59,1.69,0.27,0.27,1.3
142,David Avellan,None,2,1,0,"5' 9""",185 lbs.,NA,Orthodox,NA,0,3.33,10,0.25,0.57,0,0,0,0
143,Blas Avena,The Disciple,7,6,0,"6' 0""",170 lbs.,"74""",Orthodox,30-Jun-83,37,2.34,3.36,0.47,0.43,2.37,0.8,0.5,1.8
144,Levi Avera,None,16,10,0,"6' 1""",170 lbs.,NA,NA,17-May-82,38,0,0,0,0,0,0,0,0
145,Anthony Avila,None,6,1,0,"5' 7""",145 lbs.,NA,NA,29-Dec-88,32,0,0,0,0,0,0,0,0
146,Chris Avila,None,5,4,0,"5' 10""",145 lbs.,"72""",Orthodox,16-Jan-93,27,2.37,4.17,0.3,0.48,0,0,0.46,0
147,Julia Avila,Raging Panda,7,1,0,"5' 4""",135 lbs.,NA,NA,11-May-88,32,3.9,2.28,0.42,0.59,0,0,0.66,0
148,Saad Awad,Assassin,9,5,0,"5' 11""",155 lbs.,NA,NA,7-Jun-83,37,2.13,1.87,0.26,0.6,0.5,0.16,1,0.5
149,Javy Ayala,Eye Candy,10,5,0,"6' 1""",265 lbs.,NA,NA,20-Aug-88,32,0.83,5,0.25,0.33,0,0,0,0
150,Jessin Ayari,Abacus,16,5,0,"6' 0""",155 lbs.,"73""",Orthodox,31-May-92,28,3.27,2.6,0.34,0.61,0,0,0.33,0.5
151,Abu Azaitar,Gladiator,14,1,1,"5' 9""",185 lbs.,"76""",Orthodox,10-Mar-86,34,0,0,0,0,0,0,0,0
152,Ottman Azaitar,Bulldozer,12,0,0,NA,170 lbs.,NA,NA,NA,0,7.61,2.25,0.5,0.57,0,0,1,0
153,Luiz Azeredo,None,15,10,0,"5' 9""",154 lbs.,NA,Orthodox,10-Jun-76,44,2.16,2.76,0.39,0.57,1.07,0.5,0.45,0.3
154,Luciano Azevedo,None,16,9,1,"6' 3""",161 lbs.,NA,Orthodox,25-Jun-81,39,0.76,1.97,0.45,0.27,2.28,0.11,0,0
155,Niklas Backstrom,None,8,2,0,"6' 1""",145 lbs.,"74""",Orthodox,22-Aug-89,31,1.12,3.65,0.41,0.4,2.92,0.8,0.72,2.2
156,Seth Baczynski,The Polish Pistola,18,11,0,"6' 3""",170 lbs.,"74""",Orthodox,26-Oct-81,39,3.08,3.14,0.31,0.51,0.89,0.16,0.48,0.8
157,Ryan Bader,Darth,23,5,0,"6' 2""",205 lbs.,"74""",Orthodox,7-Jun-83,37,2.82,1.39,0.43,0.71,3.37,0.44,0.8,0.4
158,Izabela Badurek,None,5,3,0,"5' 5""",115 lbs.,NA,Orthodox,11-Jul-91,29,3.74,4.9,0.71,0.32,1.75,0.12,1,0
159,Miguel Baeza,Caramel Thunder,8,0,0,"6' 2""",170 lbs.,"74""",Orthodox,23-Aug-92,28,NA,NA,NA,NA,NA,NA,NA,NA
160,Ali Bagautinov,Puncher,14,5,0,"5' 4""",125 lbs.,"65""",Orthodox,10-Jun-85,35,2.85,3.09,0.42,0.52,2.51,0.36,0.65,0.3
161,Mehdi Baghdad,The Sultan,11,4,0,"6' 1""",155 lbs.,"75""",Orthodox,13-Apr-85,35,3.13,4.56,0.3,0.46,0,0,0.33,0
162,Siyar Bahadurzada,The Great,24,8,1,"5' 11""",170 lbs.,"73""",Orthodox,17-Apr-84,36,3.37,2.34,0.48,0.5,1.13,0.8,0.67,0.6
163,Shamar Bailey,None,12,5,0,"5' 9""",155 lbs.,"75""",NA,22-Sep-82,38,1.56,3.91,0.2,0.69,1.5,0.33,0.37,0
164,Jordan Bailey,None,6,3,0,"5' 9""",145 lbs.,NA,NA,NA,0,1.74,0.29,0.4,0,4.35,1,0,4.3
165,Scott Baker,None,1,1,0,"6' 0""",210 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
166,Bryan Baker,The Beast,16,3,0,"6' 3""",185 lbs.,NA,Orthodox,13-Oct-85,35,1.78,2.83,0.52,0.45,0.44,0.5,0.37,0.9
167,Oluwale Bamgbose,Holy War Angel,6,4,0,"5' 11""",185 lbs.,"78""",Switch,4-Aug-87,33,2.76,3.25,0.46,0.48,1.22,0.4,0.42,0
168,Stephen Banaszak,None,5,5,0,"6' 0""",145 lbs.,NA,NA,7-Dec-90,30,4.2,1.15,0.47,0.66,0,0,1,1.9
169,Marcin Bandel,Bomba,13,4,0,"5' 10""",155 lbs.,"70""",Orthodox,10-Oct-89,31,0.79,5.26,0.5,0.23,0,0,0,0
170,Humberto Bandenay,None,14,7,0,"5' 11""",145 lbs.,NA,Southpaw,4-Sep-94,26,11.54,2.31,0.71,0.66,0,0,0,0
171,Tae Hyun Bang,The Korean Cowboy,18,10,0,"5' 9""",155 lbs.,"71""",Switch,15-Apr-83,37,2.72,2.07,0.38,0.66,0.49,0.33,0.57,0.5
172,Yohan Banks,None,2,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
173,Antonio Banuelos,None,19,7,1,"5' 5""",135 lbs.,"63""",Orthodox,23-Sep-79,41,2.71,3.3,0.33,0.58,1.38,0.58,0.85,0.4
174,Renan Barao,The Baron,36,9,0,"5' 6""",135 lbs.,"70""",Orthodox,31-Jan-87,33,3.46,3.6,0.34,0.59,1.5,0.45,0.95,0.5
175,Junior Barata,None,8,3,1,"5' 10""",170 lbs.,NA,Orthodox,25-Jan-82,38,4.03,8.46,0.33,0.34,0,0,0,0
176,Maycee Barber,The Future,8,1,0,"5' 5""",125 lbs.,"65""",Switch,18-May-98,22,6.02,3.15,0.6,0.49,0.95,0.3,0.8,0.3
