,R_fighter,B_fighter,date,location,Weight Class,Championship Bout,Format,Winner,last_round,win_by,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_SIG_STR_pct,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TOTAL_STR_pct,R_TD,R_TD_ATT,R_TD_pct,R_SUB_ATT,R_PASS,R_REV,R_HEAD,R_HEAD_ATT,R_HEAD_pct,R_BODY,R_BODY_ATT,R_BODY_pct,R_LEG,R_LEG_ATT,R_LEG_pct,R_CLINCH,R_CLINCH_ATT,R_CLINCH_pct,R_GROUND,R_GROUND_ATT,R_GROUND_pct,R_DIST,R_DIST_ATT,R_DIST_pct,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_SIG_STR_pct,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TOTAL_STR_pct,B_TD,B_TD_ATT,B_TD_pct,B_SUB_ATT,B_PASS,B_REV,B_HEAD,B_HEAD_ATT,B_HEAD_pct,B_BODY,B_BODY_ATT,B_BODY_pct,B_LEG,B_LEG_ATT,B_LEG_pct,B_CLINCH,B_CLINCH_ATT,B_CLINCH_pct,B_GROUND,B_GROUND_ATT,B_GROUND_pct,B_DIST,B_DIST_ATT,B_DIST_pct
10,Bevon Lewis,Darren Stewart,6/8/2019,"Chicago, Illinois, USA",Middleweight,NO,3 Rnd (5-5-5),Darren Stewart,3,Decision - Unanimous,0,31,84,0.36,45,98,0.45918367346938777,0,5,0.0,0,0,0,13,49,0.2653061224489796,12,23,0.5217391304347826,6,12,0.5,16,22,0.7272727272727273,0,0,0.0,15,62,0.24193548387096775,0,30,73,0.41,40,84,0.47619047619047616,0,0,0.0,0,0,0,11,52,0.21153846153846154,5,6,0.8333333333333334,14,15,0.9333333333333333,12,18,0.6666666666666666,0,0,0.0,18,55,0.32727272727272727
11,Eddie Wineland,Grigorii Popov,6/8/2019,"Chicago, Illinois, USA",Bantamweight,NO,3 Rnd (5-5-5),Eddie Wineland,2,KO/TKO,2,74,171,0.43,74,171,0.4327485380116959,0,2,0.0,0,0,0,48,129,0.37209302325581395,23,39,0.5897435897435898,3,3,1.0,0,1,0.0,4,5,0.8,70,165,0.42424242424242425,0,55,150,0.36,55,150,0.36666666666666664,0,1,0.0,0,0,0,24,97,0.24742268041237114,20,39,0.5128205128205128,11,14,0.7857142857142857,3,4,0.75,0,0,0.0,52,146,0.3561643835616438
12,Katlyn Chookagian,Joanne Calderwood,6/8/2019,"Chicago, Illinois, USA",Women's Flyweight,NO,3 Rnd (5-5-5),Katlyn Chookagian,3,Decision - Unanimous,0,82,221,0.37,108,250,0.432,0,2,0.0,0,0,0,50,179,0.27932960893854747,20,27,0.7407407407407407,12,15,0.8,3,5,0.6,1,1,1.0,78,215,0.3627906976744186,0,112,266,0.42,141,300,0.47,3,4,0.75,0,0,0,24,139,0.17266187050359713,19,40,0.475,69,87,0.7931034482758621,7,12,0.5833333333333334,1,2,0.5,104,252,0.4126984126984127
13,Alexander Gustafsson,Anthony Smith,6/1/2019,"Stockholm, Sweden",Light Heavyweight,NO,5 Rnd (5-5-5-5-5),Anthony Smith ,4,Submission,0,72,151,0.47,73,152,0.48026315789473684,1,3,0.33,0,1,0,26,79,0.3291139240506329,8,21,0.38095238095238093,38,51,0.7450980392156863,0,1,0.0,2,3,0.6666666666666666,70,147,0.47619047619047616,0,49,104,0.47,51,107,0.4766355140186916,0,1,0.0,1,1,0,19,62,0.3064516129032258,11,19,0.5789473684210527,19,23,0.8260869565217391,0,1,0.0,5,5,1.0,44,98,0.4489795918367347
14,Jimi Manuwa,Aleksandar Rakic,6/1/2019,"Stockholm, Sweden",Light Heavyweight,NO,3 Rnd (5-5-5),Aleksandar Rakic ,1,KO/TKO,0,2,3,0.66,2,3,0.6666666666666666,0,0,0.0,0,0,0,1,2,0.5,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,2,3,0.6666666666666666,1,2,7,0.28,2,7,0.2857142857142857,0,0,0.0,0,0,0,1,5,0.2,0,0,0.0,1,2,0.5,0,0,0.0,0,0,0.0,2,7,0.2857142857142857
15,Makwan Amirkhani,Chris Fishgold,6/1/2019,"Stockholm, Sweden",Featherweight,NO,3 Rnd (5-5-5),Makwan Amirkhani ,2,Submission,0,9,27,0.33,18,36,0.5,1,2,0.5,1,2,0,6,21,0.2857142857142857,1,3,0.3333333333333333,2,3,0.6666666666666666,0,0,0.0,3,4,0.75,6,23,0.2608695652173913,0,16,52,0.3,16,52,0.3076923076923077,0,0,0.0,0,0,0,4,30,0.13333333333333333,3,5,0.6,9,17,0.5294117647058824,0,0,0.0,0,0,0.0,16,52,0.3076923076923077
16,Damir Hadzovic,Christos Giagos,6/1/2019,"Stockholm, Sweden",Lightweight,NO,3 Rnd (5-5-5),Christos Giagos ,3,Decision - Unanimous,0,24,61,0.39,42,87,0.4827586206896552,1,1,1.0,0,0,0,20,48,0.4166666666666667,3,12,0.25,1,1,1.0,5,6,0.8333333333333334,5,10,0.5,14,45,0.3111111111111111,0,47,113,0.41,67,141,0.475177304964539,6,13,0.46,0,3,0,28,90,0.3111111111111111,12,16,0.75,7,7,1.0,6,10,0.6,3,12,0.25,38,91,0.4175824175824176
17,Daniel Teymur,Sung Bin Jo,6/1/2019,"Stockholm, Sweden",Featherweight,NO,3 Rnd (5-5-5),Daniel Teymur ,3,Decision - Unanimous,0,40,83,0.48,49,93,0.5268817204301075,1,6,0.16,0,0,0,22,53,0.41509433962264153,5,6,0.8333333333333334,13,24,0.5416666666666666,8,11,0.7272727272727273,8,15,0.5333333333333333,24,57,0.42105263157894735,0,21,63,0.33,23,65,0.35384615384615387,1,3,0.33,1,0,0,13,53,0.24528301886792453,7,9,0.7777777777777778,1,1,1.0,8,10,0.8,1,1,1.0,12,52,0.23076923076923078
18,Rostem Akman,Sergey Khandozhko,6/1/2019,"Stockholm, Sweden",Welterweight,NO,3 Rnd (5-5-5),Sergey Khandozhko ,3,Decision - Unanimous,0,39,100,0.39,40,103,0.3883495145631068,2,5,0.4,0,1,0,30,91,0.32967032967032966,6,6,1.0,3,3,1.0,8,9,0.8888888888888888,0,0,0.0,31,91,0.34065934065934067,1,60,149,0.4,60,151,0.3973509933774834,1,6,0.16,0,1,0,30,100,0.3,11,27,0.4074074074074074,19,22,0.8636363636363636,5,8,0.625,0,0,0.0,55,141,0.3900709219858156
19,Tonya Evinger,Lina Lansberg,6/1/2019,"Stockholm, Sweden",Women's Bantamweight,NO,3 Rnd (5-5-5),Lina Lansberg ,3,Decision - Unanimous,0,6,11,0.54,68,83,0.8192771084337349,1,4,0.25,0,2,0,2,7,0.2857142857142857,4,4,1.0,0,0,0.0,1,1,1.0,1,1,1.0,4,9,0.4444444444444444,0,50,68,0.73,151,181,0.8342541436464088,1,2,0.5,0,2,1,45,62,0.7258064516129032,5,6,0.8333333333333334,0,0,0.0,7,10,0.7,42,54,0.7777777777777778,1,4,0.25
20,Stevie Ray,Leonardo Santos,6/1/2019,"Stockholm, Sweden",Lightweight,NO,3 Rnd (5-5-5),Leonardo Santos ,1,KO/TKO,0,2,11,0.18,2,11,0.18181818181818182,0,0,0.0,0,0,0,0,8,0.0,0,1,0.0,2,2,1.0,0,0,0.0,0,0,0.0,2,11,0.18181818181818182,1,12,16,0.75,12,16,0.75,0,0,0.0,0,0,0,4,5,0.8,6,9,0.6666666666666666,2,2,1.0,0,0,0.0,0,0,0.0,12,16,0.75
21,Nick Hein,Frank Camacho,6/1/2019,"Stockholm, Sweden",Lightweight,NO,3 Rnd (5-5-5),Frank Camacho ,2,KO/TKO,0,37,79,0.46,45,87,0.5172413793103449,1,3,0.33,0,0,0,20,52,0.38461538461538464,8,18,0.4444444444444444,9,9,1.0,1,1,1.0,0,0,0.0,36,78,0.46153846153846156,0,100,201,0.49,105,208,0.5048076923076923,0,0,0.0,0,0,0,68,151,0.4503311258278146,30,47,0.6382978723404256,2,3,0.6666666666666666,7,10,0.7,0,0,0.0,93,191,0.4869109947643979
22,Bea Malecki,Duda Santana,6/1/2019,"Stockholm, Sweden",Women's Bantamweight,NO,3 Rnd (5-5-5),Bea Malecki ,2,Submission,0,19,71,0.26,30,82,0.36585365853658536,0,0,0.0,2,1,0,12,63,0.19047619047619047,5,6,0.8333333333333334,2,2,1.0,0,0,0.0,1,2,0.5,18,69,0.2608695652173913,0,42,106,0.39,48,112,0.42857142857142855,3,5,0.6,0,0,0,36,90,0.4,2,10,0.2,4,6,0.6666666666666666,0,2,0.0,2,2,1.0,40,102,0.39215686274509803
23,Darko Stosic,Devin Clark,6/1/2019,"Stockholm, Sweden",Light Heavyweight,NO,3 Rnd (5-5-5),Devin Clark ,3,Decision - Unanimous,0,26,55,0.47,50,82,0.6097560975609756,1,3,0.33,0,1,0,23,50,0.46,3,5,0.6,0,0,0.0,11,16,0.6875,3,6,0.5,12,33,0.36363636363636365,0,40,95,0.42,90,149,0.6040268456375839,2,11,0.18,0,0,0,26,76,0.34210526315789475,5,9,0.5555555555555556,9,10,0.9,11,14,0.7857142857142857,1,1,1.0,28,80,0.35
24,Joel Alvarez,Danilo Belluardo,6/1/2019,"Stockholm, Sweden",Lightweight,NO,3 Rnd (5-5-5),Joel Alvarez ,2,KO/TKO,0,19,41,0.46,87,113,0.7699115044247787,0,0,0.0,0,1,1,16,32,0.5,1,4,0.25,2,5,0.4,1,1,1.0,13,17,0.7647058823529411,5,23,0.21739130434782608,0,13,20,0.65,56,68,0.8235294117647058,2,2,1.0,0,2,0,9,16,0.5625,0,0,0.0,4,4,1.0,0,0,0.0,5,7,0.7142857142857143,8,13,0.6153846153846154
25,Rafael Dos Anjos,Kevin Lee,5/18/2019,"Rochester, New York, USA",Welterweight,NO,5 Rnd (5-5-5-5-5),Rafael Dos Anjos,4,Submission,0,60,111,0.54,75,126,0.5952380952380952,4,7,0.57,1,4,1,36,83,0.43373493975903615,17,21,0.8095238095238095,7,7,1.0,18,20,0.9,9,11,0.8181818181818182,33,80,0.4125,0,35,97,0.36,40,102,0.39215686274509803,6,16,0.37,0,1,0,23,79,0.2911392405063291,10,16,0.625,2,2,1.0,7,10,0.7,1,1,1.0,27,86,0.313953488372093
26,Antonio Carlos Junior,Ian Heinisch,5/18/2019,"Rochester, New York, USA",Middleweight,NO,3 Rnd (5-5-5),Ian Heinisch,3,Decision - Unanimous,0,15,33,0.45,25,43,0.5813953488372093,4,11,0.36,0,4,1,10,27,0.37037037037037035,1,2,0.5,4,4,1.0,2,2,1.0,2,3,0.6666666666666666,11,28,0.39285714285714285,0,39,67,0.58,79,115,0.6869565217391305,1,1,1.0,0,5,0,26,48,0.5416666666666666,2,5,0.4,11,14,0.7857142857142857,5,7,0.7142857142857143,21,29,0.7241379310344828,13,31,0.41935483870967744
27,Megan Anderson,Felicia Spencer,5/18/2019,"Rochester, New York, USA",Women's Featherweight,NO,3 Rnd (5-5-5),Felicia Spencer,1,Submission,0,3,6,0.5,5,8,0.625,0,0,0.0,0,0,0,2,5,0.4,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0.0,2,4,0.5,0,22,31,0.7,25,34,0.7352941176470589,1,2,0.5,1,1,0,13,17,0.7647058823529411,0,5,0.0,9,9,1.0,8,9,0.8888888888888888,13,15,0.8666666666666667,1,7,0.14285714285714285
28,Vicente Luque,Derrick Krantz,5/18/2019,"Rochester, New York, USA",Welterweight,NO,3 Rnd (5-5-5),Vicente Luque,1,KO/TKO,1,18,25,0.72,18,25,0.72,0,0,0.0,0,0,0,14,20,0.7,1,2,0.5,3,3,1.0,1,1,1.0,7,7,1.0,10,17,0.5882352941176471,0,6,18,0.33,9,23,0.391304347826087,1,2,0.5,0,1,0,5,16,0.3125,1,2,0.5,0,0,0.0,0,0,0.0,1,1,1.0,5,17,0.29411764705882354
29,Charles Oliveira,Nik Lentz,5/18/2019,"Rochester, New York, USA",Lightweight,NO,3 Rnd (5-5-5),Charles Oliveira,2,KO/TKO,1,38,59,0.64,43,64,0.671875,0,0,0.0,1,3,1,23,38,0.6052631578947368,13,19,0.6842105263157895,2,2,1.0,10,17,0.5882352941176471,8,8,1.0,20,34,0.5882352941176471,0,18,49,0.36,21,53,0.39622641509433965,2,4,0.5,0,1,0,10,36,0.2777777777777778,5,9,0.5555555555555556,3,4,0.75,6,8,0.75,2,2,1.0,10,39,0.2564102564102564
30,Davi Ramos,Austin Hubbard,5/18/2019,"Rochester, New York, USA",Lightweight,NO,3 Rnd (5-5-5),Davi Ramos,3,Decision - Unanimous,0,63,114,0.55,76,128,0.59375,3,7,0.42,0,3,0,44,86,0.5116279069767442,7,15,0.4666666666666667,12,13,0.9230769230769231,5,5,1.0,17,17,1.0,41,92,0.44565217391304346,0,44,116,0.37,46,119,0.3865546218487395,0,0,0.0,0,0,0,19,73,0.2602739726027397,8,24,0.3333333333333333,17,19,0.8947368421052632,2,3,0.6666666666666666,2,2,1.0,40,111,0.36036036036036034
31,Aspen Ladd,Sijara Eubanks,5/18/2019,"Rochester, New York, USA",Women's Bantamweight,NO,3 Rnd (5-5-5),Aspen Ladd,3,Decision - Unanimous,0,69,125,0.55,85,143,0.5944055944055944,3,4,0.75,3,6,0,57,111,0.5135135135135135,7,9,0.7777777777777778,5,5,1.0,14,20,0.7,17,23,0.7391304347826086,38,82,0.4634146341463415,0,77,164,0.46,80,168,0.47619047619047616,2,5,0.4,0,2,0,60,146,0.410958904109589,16,17,0.9411764705882353,1,1,1.0,12,19,0.631578947368421,4,5,0.8,61,140,0.4357142857142857
32,Desmond Green,Charles Jourdain,5/18/2019,"Rochester, New York, USA",Lightweight,NO,3 Rnd (5-5-5),Desmond Green,3,Decision - Unanimous,0,78,144,0.54,85,152,0.5592105263157895,4,4,1.0,0,1,0,56,119,0.47058823529411764,15,17,0.8823529411764706,7,8,0.875,7,7,1.0,10,14,0.7142857142857143,61,123,0.4959349593495935,0,55,146,0.37,55,146,0.3767123287671233,0,0,0.0,0,0,0,11,79,0.13924050632911392,14,29,0.4827586206896552,30,38,0.7894736842105263,1,3,0.3333333333333333,0,0,0.0,54,143,0.3776223776223776
33,Danny Roberts,Michel Pereira,5/18/2019,"Rochester, New York, USA",Welterweight,NO,3 Rnd (5-5-5),Michel Pereira,1,KO/TKO,0,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0,0,2,0.0,0,0,0.0,2,2,1.0,0,0,0.0,0,0,0.0,2,4,0.5,1,6,11,0.54,6,11,0.5454545454545454,0,0,0.0,0,0,0,4,9,0.4444444444444444,2,2,1.0,0,0,0.0,1,1,1.0,0,0,0.0,5,10,0.5
