,R_fighter,B_fighter,date,location,Weight Class,Championship Bout,Format,Winner,last_round,win_by,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_SIG_STR_pct,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TOTAL_STR_pct,R_TD,R_TD_ATT,R_TD_pct,R_SUB_ATT,R_PASS,R_REV,R_HEAD,R_HEAD_ATT,R_HEAD_pct,R_BODY,R_BODY_ATT,R_BODY_pct,R_LEG,R_LEG_ATT,R_LEG_pct,R_CLINCH,R_CLINCH_ATT,R_CLINCH_pct,R_GROUND,R_GROUND_ATT,R_GROUND_pct,R_DIST,R_DIST_ATT,R_DIST_pct,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_SIG_STR_pct,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TOTAL_STR_pct,B_TD,B_TD_ATT,B_TD_pct,B_SUB_ATT,B_PASS,B_REV,B_HEAD,B_HEAD_ATT,B_HEAD_pct,B_BODY,B_BODY_ATT,B_BODY_pct,B_LEG,B_LEG_ATT,B_LEG_pct,B_CLINCH,B_CLINCH_ATT,B_CLINCH_pct,B_GROUND,B_GROUND_ATT,B_GROUND_pct,B_DIST,B_DIST_ATT,B_DIST_pct
1355,Artem Lobov,Chris Avila,8/20/2016,"Las Vegas, Nevada, USA",Featherweight,NO,3 Rnd (5-5-5),Artem Lobov,3,Decision - Unanimous,0,53,117,0.45,63,128,0.4921875,0,1,0.0,0,0,0,15,69,0.21739130434782608,11,19,0.5789473684210527,27,29,0.9310344827586207,5,9,0.5555555555555556,0,0,0.0,48,108,0.4444444444444444,0,42,128,0.32,63,150,0.42,0,1,0.0,0,0,0,27,104,0.25961538461538464,6,15,0.4,9,9,1.0,5,12,0.4166666666666667,1,2,0.5,36,114,0.3157894736842105
1356,Randa Markos,Cortney Casey,8/20/2016,"Las Vegas, Nevada, USA",Women's Strawweight,NO,3 Rnd (5-5-5),Cortney Casey,1,Submission,0,4,17,0.23,38,51,0.7450980392156863,1,1,1.0,0,1,1,4,16,0.25,0,1,0.0,0,0,0.0,1,1,1.0,0,0,0.0,3,16,0.1875,0,21,36,0.58,29,44,0.6590909090909091,0,0,0.0,1,1,1,16,30,0.5333333333333333,1,2,0.5,4,4,1.0,1,1,1.0,11,14,0.7857142857142857,9,21,0.42857142857142855
1357,Neil Magny,Lorenz Larkin,8/20/2016,"Las Vegas, Nevada, USA",Welterweight,NO,3 Rnd (5-5-5),Lorenz Larkin,1,KO/TKO,0,8,23,0.34,13,29,0.4482758620689655,0,5,0.0,0,0,0,5,20,0.25,1,1,1.0,2,2,1.0,2,2,1.0,0,0,0.0,6,21,0.2857142857142857,1,32,48,0.66,34,50,0.68,0,0,0.0,0,0,0,13,25,0.52,6,7,0.8571428571428571,13,16,0.8125,10,10,1.0,0,0,0.0,22,38,0.5789473684210527
1358,Colby Covington,Max Griffin,8/20/2016,"Las Vegas, Nevada, USA",Welterweight,NO,3 Rnd (5-5-5),Colby Covington,3,KO/TKO,0,26,46,0.56,161,216,0.7453703703703703,6,9,0.66,0,12,0,19,38,0.5,6,7,0.8571428571428571,1,1,1.0,1,1,1.0,11,17,0.6470588235294118,14,28,0.5,0,13,35,0.37,33,58,0.5689655172413793,0,0,0.0,1,0,1,9,31,0.2903225806451613,2,2,1.0,2,2,1.0,1,1,1.0,1,2,0.5,11,32,0.34375
1359,Alberto Uda,Marvin Vettori,8/20/2016,"Las Vegas, Nevada, USA",Middleweight,NO,3 Rnd (5-5-5),Marvin Vettori,1,Submission,0,4,9,0.44,21,27,0.7777777777777778,1,2,0.5,0,0,0,3,8,0.375,1,1,1.0,0,0,0.0,0,0,0.0,3,4,0.75,1,5,0.2,0,10,14,0.71,50,68,0.7352941176470589,1,1,1.0,1,0,0,10,14,0.7142857142857143,0,0,0.0,0,0,0.0,0,0,0.0,8,10,0.8,2,4,0.5
1360,Yair Rodriguez,Alex Caceres,8/6/2016,"Salt Lake City, Utah, USA",Featherweight,NO,5 Rnd (5-5-5-5-5),Yair Rodriguez,5,Decision - Split,0,120,338,0.35,124,343,0.36151603498542273,1,2,0.5,0,0,0,63,267,0.23595505617977527,17,26,0.6538461538461539,40,45,0.8888888888888888,6,8,0.75,8,15,0.5333333333333333,106,315,0.33650793650793653,0,62,196,0.31,65,202,0.3217821782178218,1,1,1.0,0,1,0,46,170,0.27058823529411763,9,14,0.6428571428571429,7,12,0.5833333333333334,4,7,0.5714285714285714,1,2,0.5,57,187,0.3048128342245989
1361,Dennis Bermudez,Rony Jason,8/6/2016,"Salt Lake City, Utah, USA",Featherweight,NO,3 Rnd (5-5-5),Dennis Bermudez,3,Decision - Unanimous,0,48,95,0.5,77,127,0.6062992125984252,5,10,0.5,0,1,1,29,67,0.43283582089552236,5,14,0.35714285714285715,14,14,1.0,2,2,1.0,25,34,0.7352941176470589,21,59,0.3559322033898305,0,9,41,0.21,16,48,0.3333333333333333,0,0,0.0,0,1,0,6,32,0.1875,3,8,0.375,0,1,0.0,2,2,1.0,0,0,0.0,7,39,0.1794871794871795
1362,Thales Leites,Chris Camozzi,8/6/2016,"Salt Lake City, Utah, USA",Middleweight,NO,3 Rnd (5-5-5),Thales Leites,3,Submission,0,36,53,0.67,58,82,0.7073170731707317,5,11,0.45,1,7,0,36,53,0.6792452830188679,0,0,0.0,0,0,0.0,14,20,0.7,22,26,0.8461538461538461,0,7,0.0,0,8,15,0.53,11,18,0.6111111111111112,0,0,0.0,0,0,0,5,12,0.4166666666666667,1,1,1.0,2,2,1.0,1,1,1.0,1,1,1.0,6,13,0.46153846153846156
1363,Santiago Ponzinibbio,Zak Cummings,8/6/2016,"Salt Lake City, Utah, USA",Welterweight,NO,3 Rnd (5-5-5),Santiago Ponzinibbio,3,Decision - Unanimous,0,58,126,0.46,60,128,0.46875,0,0,0.0,0,0,0,50,117,0.42735042735042733,2,2,1.0,6,7,0.8571428571428571,3,3,1.0,0,0,0.0,55,123,0.44715447154471544,0,35,152,0.23,35,152,0.23026315789473684,1,5,0.2,0,0,0,23,135,0.17037037037037037,8,12,0.6666666666666666,4,5,0.8,0,1,0.0,0,0,0.0,35,151,0.23178807947019867
1364,Trevor Smith,Joe Gigliotti,8/6/2016,"Salt Lake City, Utah, USA",Middleweight,NO,3 Rnd (5-5-5),Trevor Smith,3,Decision - Unanimous,1,42,69,0.6,105,137,0.7664233576642335,4,6,0.66,2,10,0,38,63,0.6031746031746031,2,4,0.5,2,2,1.0,10,13,0.7692307692307693,29,39,0.7435897435897436,3,17,0.17647058823529413,0,15,31,0.48,24,40,0.6,1,1,1.0,1,0,0,10,26,0.38461538461538464,5,5,1.0,0,0,0.0,8,10,0.8,1,2,0.5,6,19,0.3157894736842105
1365,Maryna Moroz,Danielle Taylor,8/6/2016,"Salt Lake City, Utah, USA",Women's Strawweight,NO,3 Rnd (5-5-5),Maryna Moroz,3,Decision - Split,0,17,251,0.06,17,251,0.06772908366533864,0,0,0.0,0,0,0,13,238,0.0546218487394958,1,7,0.14285714285714285,3,6,0.5,0,0,0.0,0,0,0.0,17,251,0.06772908366533864,0,17,102,0.16,17,102,0.16666666666666666,1,1,1.0,0,0,0,7,84,0.08333333333333333,0,3,0.0,10,15,0.6666666666666666,0,0,0.0,0,0,0.0,17,102,0.16666666666666666
1366,Court McGee,Dominique Steele,8/6/2016,"Salt Lake City, Utah, USA",Welterweight,NO,3 Rnd (5-5-5),Court McGee,3,Decision - Unanimous,0,15,39,0.38,55,82,0.6707317073170732,4,15,0.26,1,2,0,9,28,0.32142857142857145,4,9,0.4444444444444444,2,2,1.0,8,9,0.8888888888888888,0,0,0.0,7,30,0.23333333333333334,0,23,65,0.35,45,88,0.5113636363636364,0,1,0.0,0,0,0,18,56,0.32142857142857145,5,9,0.5555555555555556,0,0,0.0,8,13,0.6153846153846154,0,0,0.0,15,52,0.28846153846153844
1367,Viktor Pesta,Marcin Tybura,8/6/2016,"Salt Lake City, Utah, USA",Heavyweight,NO,3 Rnd (5-5-5),Marcin Tybura,2,KO/TKO,0,3,42,0.07,4,43,0.09302325581395349,0,2,0.0,0,0,0,2,41,0.04878048780487805,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0.0,3,41,0.07317073170731707,1,15,62,0.24,20,67,0.29850746268656714,0,0,0.0,0,0,0,11,54,0.2037037037037037,2,5,0.4,2,3,0.6666666666666666,1,3,0.3333333333333333,0,0,0.0,14,59,0.23728813559322035
1368,David Teymur,Jason Novelli,8/6/2016,"Salt Lake City, Utah, USA",Lightweight,NO,3 Rnd (5-5-5),David Teymur,2,KO/TKO,1,26,61,0.42,26,61,0.4262295081967213,0,1,0.0,0,0,0,10,40,0.25,5,6,0.8333333333333334,11,15,0.7333333333333333,0,3,0.0,0,0,0.0,26,58,0.4482758620689655,0,8,28,0.28,9,29,0.3103448275862069,0,0,0.0,0,0,0,3,18,0.16666666666666666,2,5,0.4,3,5,0.6,1,3,0.3333333333333333,0,0,0.0,7,25,0.28
1369,Teruto Ishihara,Horacio Gutierrez,8/6/2016,"Salt Lake City, Utah, USA",Featherweight,NO,3 Rnd (5-5-5),Teruto Ishihara,1,KO/TKO,1,13,25,0.52,13,25,0.52,0,1,0.0,0,0,0,7,17,0.4117647058823529,3,5,0.6,3,3,1.0,0,0,0.0,5,6,0.8333333333333334,8,19,0.42105263157894735,0,5,18,0.27,5,18,0.2777777777777778,0,0,0.0,0,0,0,1,14,0.07142857142857142,0,0,0.0,4,4,1.0,0,0,0.0,0,0,0.0,5,18,0.2777777777777778
1370,Cub Swanson,Tatsuya Kawajiri,8/6/2016,"Salt Lake City, Utah, USA",Featherweight,NO,3 Rnd (5-5-5),Cub Swanson,3,Decision - Unanimous,0,67,109,0.61,91,133,0.6842105263157895,1,1,1.0,1,3,0,51,92,0.5543478260869565,10,11,0.9090909090909091,6,6,1.0,8,9,0.8888888888888888,21,23,0.9130434782608695,38,77,0.4935064935064935,0,23,101,0.22,51,132,0.38636363636363635,3,12,0.25,0,3,1,12,82,0.14634146341463414,2,8,0.25,9,11,0.8181818181818182,2,3,0.6666666666666666,2,13,0.15384615384615385,19,85,0.2235294117647059
1371,Chase Sherman,Justin Ledet,8/6/2016,"Salt Lake City, Utah, USA",Heavyweight,NO,3 Rnd (5-5-5),Justin Ledet,3,Decision - Unanimous,0,59,166,0.35,60,167,0.3592814371257485,0,0,0.0,0,0,0,26,120,0.21666666666666667,7,14,0.5,26,32,0.8125,1,2,0.5,0,0,0.0,58,164,0.35365853658536583,0,113,230,0.49,114,231,0.4935064935064935,0,0,0.0,0,0,0,111,228,0.4868421052631579,2,2,1.0,0,0,0.0,3,4,0.75,0,0,0.0,110,226,0.48672566371681414
1372,Robbie Lawler,Tyron Woodley,7/30/2016,"Atlanta, Georgia, USA",Welterweight,YES,5 Rnd (5-5-5-5-5),Tyron Woodley,1,KO/TKO,0,3,6,0.5,4,7,0.5714285714285714,0,0,0.0,0,0,0,0,1,0.0,3,5,0.6,0,0,0.0,1,1,1.0,0,0,0.0,2,5,0.4,1,8,11,0.72,8,11,0.7272727272727273,0,0,0.0,0,0,0,7,9,0.7777777777777778,1,2,0.5,0,0,0.0,0,0,0.0,5,5,1.0,3,6,0.5
1373,Rose Namajunas,Karolina Kowalkiewicz,7/30/2016,"Atlanta, Georgia, USA",Women's Strawweight,NO,3 Rnd (5-5-5),Karolina Kowalkiewicz,3,Decision - Split,0,70,145,0.48,74,149,0.4966442953020134,2,6,0.33,0,1,0,52,123,0.42276422764227645,10,13,0.7692307692307693,8,9,0.8888888888888888,16,25,0.64,4,4,1.0,50,116,0.43103448275862066,0,84,242,0.34,128,293,0.43686006825938567,0,0,0.0,0,2,0,44,185,0.23783783783783785,29,38,0.7631578947368421,11,19,0.5789473684210527,41,56,0.7321428571428571,7,12,0.5833333333333334,36,174,0.20689655172413793
1374,Matt Brown,Jake Ellenberger,7/30/2016,"Atlanta, Georgia, USA",Welterweight,NO,3 Rnd (5-5-5),Jake Ellenberger,1,KO/TKO,0,7,17,0.41,7,17,0.4117647058823529,0,1,0.0,0,0,0,5,15,0.3333333333333333,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0.0,5,15,0.3333333333333333,2,21,34,0.61,29,43,0.6744186046511628,0,0,0.0,0,0,0,18,31,0.5806451612903226,2,2,1.0,1,1,1.0,0,0,0.0,14,19,0.7368421052631579,7,15,0.4666666666666667
1375,Francisco Rivera,Erik Perez,7/30/2016,"Atlanta, Georgia, USA",Bantamweight,NO,3 Rnd (5-5-5),Erik Perez,3,Decision - Unanimous,0,55,158,0.34,59,163,0.3619631901840491,0,0,0.0,0,0,0,39,138,0.2826086956521739,8,12,0.6666666666666666,8,8,1.0,2,5,0.4,1,2,0.5,52,151,0.3443708609271523,0,54,156,0.34,147,259,0.5675675675675675,2,6,0.33,0,1,0,20,115,0.17391304347826086,23,30,0.7666666666666667,11,11,1.0,4,8,0.5,13,14,0.9285714285714286,37,134,0.27611940298507465
1376,Ryan Benoit,Fredy Serrano,7/30/2016,"Atlanta, Georgia, USA",Flyweight,NO,3 Rnd (5-5-5),Ryan Benoit,3,Decision - Split,1,31,58,0.53,45,76,0.5921052631578947,0,1,0.0,0,1,0,15,38,0.39473684210526316,8,9,0.8888888888888888,8,11,0.7272727272727273,8,12,0.6666666666666666,2,6,0.3333333333333333,21,40,0.525,0,22,60,0.36,67,116,0.5775862068965517,5,14,0.35,0,4,0,14,50,0.28,8,8,1.0,0,2,0.0,2,6,0.3333333333333333,2,2,1.0,18,52,0.34615384615384615
1377,Nikita Krylov,Ed Herman,7/30/2016,"Atlanta, Georgia, USA",Light Heavyweight,NO,3 Rnd (5-5-5),Nikita Krylov,2,KO/TKO,1,60,118,0.5,70,128,0.546875,0,0,0.0,0,0,0,35,80,0.4375,15,26,0.5769230769230769,10,12,0.8333333333333334,10,12,0.8333333333333334,0,0,0.0,50,106,0.4716981132075472,0,26,55,0.47,36,65,0.5538461538461539,1,1,1.0,0,1,0,20,47,0.425531914893617,4,6,0.6666666666666666,2,2,1.0,6,12,0.5,0,0,0.0,20,43,0.46511627906976744
1378,Ross Pearson,Jorge Masvidal,7/30/2016,"Atlanta, Georgia, USA",Welterweight,NO,3 Rnd (5-5-5),Jorge Masvidal,3,Decision - Unanimous,0,52,138,0.37,53,139,0.381294964028777,2,2,1.0,0,0,0,14,79,0.17721518987341772,19,35,0.5428571428571428,19,24,0.7916666666666666,1,2,0.5,0,0,0.0,51,136,0.375,1,113,256,0.44,130,277,0.4693140794223827,1,1,1.0,0,0,0,84,219,0.3835616438356164,18,23,0.782608695652174,11,14,0.7857142857142857,8,10,0.8,13,25,0.52,92,221,0.416289592760181
1379,Anthony Hamilton,Damian Grabowski,7/30/2016,"Atlanta, Georgia, USA",Heavyweight,NO,3 Rnd (5-5-5),Anthony Hamilton,1,KO/TKO,1,9,16,0.56,11,18,0.6111111111111112,0,0,0.0,0,0,0,8,15,0.5333333333333333,1,1,1.0,0,0,0.0,6,10,0.6,0,0,0.0,3,6,0.5,0,1,3,0.33,2,4,0.5,0,0,0.0,0,0,0,1,3,0.3333333333333333,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,2,0.0
1380,Wilson Reis,Hector Sandoval,7/30/2016,"Atlanta, Georgia, USA",Flyweight,NO,3 Rnd (5-5-5),Wilson Reis,1,Submission,0,4,8,0.5,12,17,0.7058823529411765,3,5,0.6,1,3,0,3,7,0.42857142857142855,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,4,8,0.5,0,5,13,0.38,8,16,0.5,0,0,0.0,0,1,1,3,11,0.2727272727272727,1,1,1.0,1,1,1.0,0,2,0.0,0,0,0.0,5,11,0.45454545454545453
1381,Michael Graves,Bojan Velickovic,7/30/2016,"Atlanta, Georgia, USA",Welterweight,NO,3 Rnd (5-5-5),NA,3,Decision - Majority,0,9,20,0.45,27,40,0.675,3,6,0.5,0,5,0,4,14,0.2857142857142857,3,4,0.75,2,2,1.0,1,1,1.0,3,4,0.75,5,15,0.3333333333333333,0,17,57,0.29,60,107,0.5607476635514018,1,2,0.5,0,1,0,3,31,0.0967741935483871,4,6,0.6666666666666666,10,20,0.5,2,4,0.5,0,0,0.0,15,53,0.2830188679245283
1382,Cesar Arzamendia,Damien Brown,7/30/2016,"Atlanta, Georgia, USA",Lightweight,NO,3 Rnd (5-5-5),Damien Brown,1,KO/TKO,0,17,27,0.62,17,27,0.6296296296296297,0,0,0.0,1,0,0,11,21,0.5238095238095238,5,5,1.0,1,1,1.0,3,4,0.75,0,0,0.0,14,23,0.6086956521739131,2,22,42,0.52,25,46,0.5434782608695652,0,0,0.0,0,1,0,20,40,0.5,1,1,1.0,1,1,1.0,2,4,0.5,12,19,0.631578947368421,8,19,0.42105263157894735
1383,Holly Holm,Valentina Shevchenko,7/23/2016,"Chicago, Illinois, USA",Women's Bantamweight,NO,5 Rnd (5-5-5-5-5),Valentina Shevchenko,5,Decision - Unanimous,0,54,211,0.25,73,231,0.31601731601731603,0,0,0.0,0,0,0,20,139,0.14388489208633093,11,29,0.3793103448275862,23,43,0.5348837209302325,4,4,1.0,0,0,0.0,50,207,0.24154589371980675,0,87,185,0.47,119,217,0.5483870967741935,3,7,0.42,0,1,0,44,120,0.36666666666666664,3,13,0.23076923076923078,40,52,0.7692307692307693,1,3,0.3333333333333333,3,4,0.75,83,178,0.46629213483146065
1384,Edson Barboza,Gilbert Melendez,7/23/2016,"Chicago, Illinois, USA",Lightweight,NO,3 Rnd (5-5-5),Edson Barboza,3,Decision - Unanimous,0,56,136,0.41,63,144,0.4375,1,1,1.0,0,0,0,23,84,0.27380952380952384,10,22,0.45454545454545453,23,30,0.7666666666666667,0,0,0.0,4,9,0.4444444444444444,52,127,0.4094488188976378,0,39,129,0.3,42,135,0.3111111111111111,0,5,0.0,0,0,0,35,120,0.2916666666666667,3,7,0.42857142857142855,1,2,0.5,1,2,0.5,2,2,1.0,36,125,0.288
1385,Francis Ngannou,Bojan Mihajlovic,7/23/2016,"Chicago, Illinois, USA",Heavyweight,NO,3 Rnd (5-5-5),Francis Ngannou,1,KO/TKO,0,8,20,0.4,9,21,0.42857142857142855,0,0,0.0,0,0,0,5,17,0.29411764705882354,3,3,1.0,0,0,0.0,0,1,0.0,5,13,0.38461538461538464,3,6,0.5,0,3,6,0.5,3,6,0.5,0,1,0.0,0,0,0,0,1,0.0,1,1,1.0,2,4,0.5,0,0,0.0,0,0,0.0,3,6,0.5
1386,Felice Herrig,Kailin Curran,7/23/2016,"Chicago, Illinois, USA",Women's Strawweight,NO,3 Rnd (5-5-5),Felice Herrig,1,Submission,0,13,30,0.43,15,32,0.46875,1,1,1.0,1,2,0,5,19,0.2631578947368421,5,7,0.7142857142857143,3,4,0.75,0,0,0.0,0,0,0.0,13,30,0.43333333333333335,0,5,17,0.29,7,19,0.3684210526315789,0,0,0.0,0,0,0,4,16,0.25,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,5,17,0.29411764705882354
1387,Frankie Saenz,Eddie Wineland,7/23/2016,"Chicago, Illinois, USA",Bantamweight,NO,3 Rnd (5-5-5),Eddie Wineland,3,KO/TKO,0,45,116,0.38,59,132,0.44696969696969696,1,4,0.25,0,1,0,27,82,0.32926829268292684,2,14,0.14285714285714285,16,20,0.8,0,0,0.0,2,3,0.6666666666666666,43,113,0.3805309734513274,1,42,129,0.32,52,139,0.37410071942446044,0,1,0.0,0,0,0,35,119,0.29411764705882354,7,10,0.7,0,0,0.0,1,2,0.5,3,4,0.75,38,123,0.3089430894308943
1388,Darren Elkins,Godofredo Pepey,7/23/2016,"Chicago, Illinois, USA",Featherweight,NO,3 Rnd (5-5-5),Darren Elkins,3,Decision - Unanimous,0,33,57,0.57,206,256,0.8046875,5,6,0.83,0,0,0,32,54,0.5925925925925926,1,3,0.3333333333333333,0,0,0.0,0,0,0.0,30,40,0.75,3,17,0.17647058823529413,0,20,38,0.52,67,99,0.6767676767676768,0,0,0.0,2,1,1,18,36,0.5,2,2,1.0,0,0,0.0,3,3,1.0,13,19,0.6842105263157895,4,16,0.25
1389,Kamaru Usman,Alexander Yakovlev,7/23/2016,"Chicago, Illinois, USA",Welterweight,NO,3 Rnd (5-5-5),Kamaru Usman,3,Decision - Unanimous,0,41,67,0.61,155,195,0.7948717948717948,5,9,0.55,0,8,0,26,46,0.5652173913043478,10,15,0.6666666666666666,5,6,0.8333333333333334,1,2,0.5,40,44,0.9090909090909091,0,21,0.0,0,8,15,0.53,11,18,0.6111111111111112,0,0,0.0,0,0,0,1,5,0.2,6,9,0.6666666666666666,1,1,1.0,3,4,0.75,0,0,0.0,5,11,0.45454545454545453
1390,Michel Prazeres,JC Cottrell,7/23/2016,"Chicago, Illinois, USA",Lightweight,NO,3 Rnd (5-5-5),Michel Prazeres,3,Decision - Unanimous,0,48,77,0.62,70,101,0.693069306930693,7,14,0.5,1,4,1,31,56,0.5535714285714286,14,17,0.8235294117647058,3,4,0.75,2,4,0.5,6,6,1.0,40,67,0.5970149253731343,0,14,53,0.26,39,78,0.5,0,0,0.0,0,0,1,9,47,0.19148936170212766,1,1,1.0,4,5,0.8,0,1,0.0,0,0,0.0,14,52,0.2692307692307692
1391,Alex Oliveira,James Moontasri,7/23/2016,"Chicago, Illinois, USA",Welterweight,NO,3 Rnd (5-5-5),Alex Oliveira,3,Decision - Unanimous,0,58,78,0.74,156,196,0.7959183673469388,2,8,0.25,0,1,0,28,45,0.6222222222222222,28,31,0.9032258064516129,2,2,1.0,15,21,0.7142857142857143,38,45,0.8444444444444444,5,12,0.4166666666666667,0,12,26,0.46,30,48,0.625,0,1,0.0,0,0,0,6,17,0.35294117647058826,1,3,0.3333333333333333,5,6,0.8333333333333334,9,12,0.75,0,0,0.0,3,14,0.21428571428571427
1392,Jim Alers,Jason Knight,7/23/2016,"Chicago, Illinois, USA",Featherweight,NO,3 Rnd (5-5-5),Jason Knight,3,Decision - Split,0,41,100,0.41,49,110,0.44545454545454544,4,10,0.4,0,1,0,32,87,0.367816091954023,2,4,0.5,7,9,0.7777777777777778,0,3,0.0,2,2,1.0,39,95,0.4105263157894737,0,76,225,0.33,95,245,0.3877551020408163,1,2,0.5,0,0,0,40,179,0.22346368715083798,11,15,0.7333333333333333,25,31,0.8064516129032258,2,4,0.5,5,6,0.8333333333333334,69,215,0.3209302325581395
1393,Luis Henrique,Dmitrii Smoliakov,7/23/2016,"Chicago, Illinois, USA",Heavyweight,NO,3 Rnd (5-5-5),Luis Henrique,2,Submission,0,20,43,0.46,77,141,0.5460992907801419,1,7,0.14,1,2,0,16,39,0.41025641025641024,4,4,1.0,0,0,0.0,4,9,0.4444444444444444,12,19,0.631578947368421,4,15,0.26666666666666666,0,14,34,0.41,66,95,0.6947368421052632,0,1,0.0,0,0,0,8,26,0.3076923076923077,4,5,0.8,2,3,0.6666666666666666,7,11,0.6363636363636364,1,1,1.0,6,22,0.2727272727272727
1394,Michael McDonald,John Lineker,7/13/2016,"Sioux Falls, South Dakota, USA",Bantamweight,NO,5 Rnd (5-5-5-5-5),John Lineker,1,KO/TKO,0,14,30,0.46,14,30,0.4666666666666667,0,0,0.0,0,0,0,13,29,0.4482758620689655,1,1,1.0,0,0,0.0,2,3,0.6666666666666666,0,0,0.0,12,27,0.4444444444444444,2,26,55,0.47,28,57,0.49122807017543857,0,0,0.0,0,0,0,18,43,0.4186046511627907,7,10,0.7,1,2,0.5,5,9,0.5555555555555556,6,8,0.75,15,38,0.39473684210526316
1395,Tony Ferguson,Lando Vannata,7/13/2016,"Sioux Falls, South Dakota, USA",Lightweight,NO,3 Rnd (5-5-5),Tony Ferguson,2,Submission,0,66,119,0.55,69,122,0.5655737704918032,0,0,0.0,3,0,0,42,92,0.45652173913043476,17,20,0.85,7,7,1.0,0,0,0.0,0,0,0.0,66,119,0.5546218487394958,1,40,110,0.36,42,112,0.375,0,2,0.0,0,0,0,26,82,0.3170731707317073,9,18,0.5,5,10,0.5,2,6,0.3333333333333333,4,8,0.5,34,96,0.3541666666666667
1396,Tim Boetsch,Josh Samman,7/13/2016,"Sioux Falls, South Dakota, USA",Middleweight,NO,3 Rnd (5-5-5),Tim Boetsch,2,KO/TKO,0,38,58,0.65,98,119,0.8235294117647058,2,2,1.0,0,3,0,28,46,0.6086956521739131,9,11,0.8181818181818182,1,1,1.0,8,11,0.7272727272727273,24,31,0.7741935483870968,6,16,0.375,0,17,39,0.43,23,47,0.48936170212765956,0,3,0.0,0,0,0,7,23,0.30434782608695654,5,11,0.45454545454545453,5,5,1.0,4,13,0.3076923076923077,0,0,0.0,13,26,0.5
1397,Aleksei Oleinik,Daniel Omielanczuk,7/13/2016,"Sioux Falls, South Dakota, USA",Heavyweight,NO,3 Rnd (5-5-5),Daniel Omielanczuk,3,Decision - Majority,0,8,28,0.28,60,84,0.7142857142857143,4,7,0.57,2,5,1,6,25,0.24,1,1,1.0,1,2,0.5,1,1,1.0,5,8,0.625,2,19,0.10526315789473684,0,26,37,0.7,100,111,0.9009009009009009,1,1,1.0,0,1,2,22,32,0.6875,4,5,0.8,0,0,0.0,2,5,0.4,14,15,0.9333333333333333,10,17,0.5882352941176471
1398,Kyle Noke,Keita Nakamura,7/13/2016,"Sioux Falls, South Dakota, USA",Welterweight,NO,3 Rnd (5-5-5),Keita Nakamura,2,Submission,0,44,77,0.57,48,81,0.5925925925925926,2,2,1.0,0,0,0,19,47,0.40425531914893614,8,11,0.7272727272727273,17,19,0.8947368421052632,2,2,1.0,1,1,1.0,41,74,0.5540540540540541,1,41,113,0.36,45,117,0.38461538461538464,0,2,0.0,1,3,0,33,99,0.3333333333333333,5,8,0.625,3,6,0.5,1,1,1.0,9,18,0.5,31,94,0.32978723404255317
1399,Louis Smolka,Ben Nguyen,7/13/2016,"Sioux Falls, South Dakota, USA",Flyweight,NO,3 Rnd (5-5-5),Louis Smolka,2,KO/TKO,0,82,113,0.72,138,178,0.7752808988764045,3,6,0.5,7,7,3,75,106,0.7075471698113207,7,7,1.0,0,0,0.0,0,0,0.0,79,108,0.7314814814814815,3,5,0.6,0,4,8,0.5,8,12,0.6666666666666666,0,0,0.0,1,1,2,2,6,0.3333333333333333,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,2,6,0.3333333333333333
1400,Lauren Murphy,Katlyn Chookagian,7/13/2016,"Sioux Falls, South Dakota, USA",Women's Bantamweight,NO,3 Rnd (5-5-5),Katlyn Chookagian,3,Decision - Unanimous,0,38,143,0.26,87,200,0.435,1,4,0.25,0,0,0,28,129,0.21705426356589147,3,5,0.6,7,9,0.7777777777777778,4,4,1.0,5,6,0.8333333333333334,29,133,0.21804511278195488,0,45,139,0.32,67,162,0.41358024691358025,0,1,0.0,0,0,0,27,114,0.23684210526315788,8,14,0.5714285714285714,10,11,0.9090909090909091,3,6,0.5,0,0,0.0,42,133,0.3157894736842105
1401,Eric Spicely,Sam Alvey,7/13/2016,"Sioux Falls, South Dakota, USA",Middleweight,NO,3 Rnd (5-5-5),Sam Alvey,1,Submission,0,7,9,0.77,8,10,0.8,0,4,0.0,0,0,0,4,5,0.8,2,3,0.6666666666666666,1,1,1.0,1,1,1.0,0,0,0.0,6,8,0.75,0,8,15,0.53,13,20,0.65,0,0,0.0,1,0,0,6,13,0.46153846153846156,2,2,1.0,0,0,0.0,3,4,0.75,0,1,0.0,5,10,0.5
